chipID,endotype,sil_width
X20_03_2013_H08_2302.CEL,Mars2,0.181850734
X14_03_2013_G10_1628.CEL,Mars2,0.181057173
X13_03_2013_G09_1551.CEL,Mars2,0.179332699
X06_02_2013_F05_220.CEL,Mars2,0.176079139
X12_03_2013_D08_1012.CEL,Mars2,0.164106897
X06_02_2013_C07_1499.CEL,Mars2,0.157957291
X22_01_2013_D10_893.CEL,Mars2,0.153622398
X20_03_2013_G12_2343.CEL,Mars2,0.151903881
X03_04_2013_A06_3191.CEL,Mars2,0.151344617
X20_03_2013_A10_1579.CEL,Mars2,0.14857978
X14_03_2013_F10_160.CEL,Mars2,0.147863222
X21_03_2013_D06_2569.CEL,Mars2,0.145283667
X12_03_2013_H07_2279.CEL,Mars2,0.145222227
X13_03_2013_G11_1266.CEL,Mars2,0.14328022
X21_03_2013_E06_2514.CEL,Mars2,0.143052918
X21_03_2013_G09_2950.CEL,Mars2,0.13404813
X03_04_2013_A03_3199.CEL,Mars2,0.131111809
X19_03_2013_F01_398.CEL,Mars2,0.128450074
X03_04_2013_C08_2736.CEL,Mars2,0.12339847
X19_03_2013_G11_423.CEL,Mars2,0.12181228
X13_03_2013_C03_732.CEL,Mars2,0.10878113
X27_03_2013_G01_2769.CEL,Mars2,0.107223115
X19_03_2013_C09_434.CEL,Mars2,0.106318957
X05_03_2013_C01_1886.CEL,Mars2,0.10300707
X03_04_2013_C02_2585.CEL,Mars2,0.070108262
X27_03_2013_H08_3245.CEL,Mars2,0.06754464
X03_04_2013_H01_2606.CEL,Mars2,0.060405727
X20_03_2013_H07_2304.CEL,Mars2,0.059745842
X03_04_2013_D07_2958.CEL,Mars2,0.058284988
X21_03_2013_E02_2536.CEL,Mars2,0.055625297
X21_03_2013_C07_2656.CEL,Mars2,0.047963393
X21_03_2013_E05_2516.CEL,Mars2,0.037201411
X13_02_2013_E04_882.CEL,Mars2,0.016910636
X14_03_2013_F11_228.CEL,Mars2,0.014945627
X20_03_2013_H01_2340.CEL,Mars2,0.014008373
X03_04_2013_F09_3041.CEL,Mars2,0.012298066
X06_02_2013_C05_2095.CEL,Mars2,0.004673261
X26_03_2013_B01_1849.CEL,Mars3,0.339204088
X27_03_2013_C07_1583.CEL,Mars3,0.32293501
X27_03_2013_B06_2879.CEL,Mars3,0.318327965
X05_03_2013_C07_1319.CEL,Mars3,0.305715323
X03_04_2013_G09_2835.CEL,Mars3,0.304292721
X20_03_2013_A05_2081.CEL,Mars3,0.301926571
X19_03_2013_F10_1598.CEL,Mars3,0.298889566
X03_04_2013_B11_2547.CEL,Mars3,0.28938377
X03_04_2013_F08_3096.CEL,Mars3,0.280174072
X21_03_2013_G11_2937.CEL,Mars3,0.263275972
X26_03_2013_D08_2731.CEL,Mars3,0.256217654
X03_04_2013_F05_2999.CEL,Mars3,0.253415417
X26_03_2013_B10_2274.CEL,Mars3,0.24327542
X13_03_2013_C08_357.CEL,Mars3,0.237982715
X05_03_2013_E09_603.CEL,Mars3,0.232359844
X26_03_2013_B06_1625.CEL,Mars3,0.231081762
X21_03_2013_C11_2639.CEL,Mars3,0.226341723
X21_03_2013_C10_2643.CEL,Mars3,0.223032407
X13_02_2013_F06_1988.CEL,Mars3,0.217271391
X19_03_2013_H06_1772.CEL,Mars3,0.214214136
X27_03_2013_F11_3352.CEL,Mars3,0.211490195
X03_04_2013_E12_2452.CEL,Mars3,0.20920639
X19_03_2013_C04_897.CEL,Mars3,0.204932872
X19_03_2013_D11_1532.CEL,Mars3,0.203774665
X03_04_2013_A05_3193.CEL,Mars3,0.199307227
X19_03_2013_D09_1992.CEL,Mars3,0.197539516
X07_03_2013_B04_472.CEL,Mars3,0.194739611
X21_03_2013_F01_2475.CEL,Mars3,0.182448639
X13_02_2013_G04_299.CEL,Mars3,0.179201926
X03_04_2013_G07_3147.CEL,Mars3,0.176530163
X21_03_2013_F03_2029.CEL,Mars3,0.175511783
X14_03_2013_D06_1464.CEL,Mars3,0.172880701
X05_03_2013_D09_205.CEL,Mars3,0.163908588
X26_03_2013_D06_2741.CEL,Mars3,0.163419941
X20_03_2013_E05_866.CEL,Mars3,0.161124473
X14_03_2013_D04_2002.CEL,Mars3,0.159494185
X21_03_2013_G12_2947.CEL,Mars3,0.149132814
X22_01_2013_E09_1552.CEL,Mars3,0.148445935
X20_03_2013_H06_2306.CEL,Mars3,0.135732977
X26_03_2013_C11_2780.CEL,Mars3,0.13479493
X26_03_2013_F04_2042.CEL,Mars3,0.120372791
X13_02_2013_H07_1901.CEL,Mars3,0.11883947
X05_03_2013_C08_511.CEL,Mars3,0.116566984
X21_03_2013_G01_2409.CEL,Mars3,0.109492051
X12_03_2013_E10_643.CEL,Mars3,0.105966486
X20_03_2013_H03_2319.CEL,Mars3,0.100718144
X12_03_2013_B05_2220.CEL,Mars3,0.100336431
X12_03_2013_G08_2131.CEL,Mars3,0.098475678
X27_03_2013_G03_3355.CEL,Mars3,0.095999292
X19_03_2013_C05_855.CEL,Mars3,0.094626714
X26_03_2013_E02_2718.CEL,Mars3,0.093365395
X03_04_2013_D06_2785.CEL,Mars3,0.089197865
X21_03_2013_F05_2465.CEL,Mars3,0.072689746
X07_03_2013_H02_1114.CEL,Mars3,0.071545442
X05_03_2013_C12_2123.CEL,Mars3,0.067757821
X21_03_2013_B05_2009.CEL,Mars3,0.064929224
X22_01_2013_G05_1297.CEL,Mars3,0.060885729
X27_03_2013_A01_3137.CEL,Mars3,0.05167816
X14_03_2013_E04_1257.CEL,Mars3,0.051575633
X13_02_2013_C12_338.CEL,Mars3,0.036518567
X03_04_2013_H04_2814.CEL,Mars3,0.020192023
X22_01_2013_G11_2146.CEL,Mars3,0.020161911
X27_03_2013_G02_935.CEL,Mars3,0.008009199
X03_04_2013_C01_2651.CEL,Mars4,0.299160197
X07_03_2013_F01_165.CEL,Mars4,0.285152819
X03_04_2013_E02_1726.CEL,Mars4,0.2572988
X13_02_2013_B09_1474.CEL,Mars4,0.253430118
X21_03_2013_A02_2291.CEL,Mars4,0.249042928
X05_03_2013_G10_1177.CEL,Mars4,0.240978746
X21_03_2013_H08_2994.CEL,Mars4,0.235020568
X13_02_2013_B11_1738.CEL,Mars4,0.233960445
X14_03_2013_A08_948.CEL,Mars4,0.232402997
X20_03_2013_C06_1590.CEL,Mars4,0.229517341
X21_03_2013_C08_2654.CEL,Mars4,0.210399457
X06_02_2013_A09_157.CEL,Mars4,0.208970931
X05_03_2013_D05_1015.CEL,Mars4,0.167891606
X06_02_2013_G05_1057.CEL,Mars4,0.164032254
X13_02_2013_E07_262.CEL,Mars4,0.154604777
X06_02_2013_E07_378.CEL,Mars4,0.154021277
X26_03_2013_D10_2730.CEL,Mars4,0.150560316
X21_03_2013_C09_2657.CEL,Mars4,0.141262601
X12_03_2013_H12_602.CEL,Mars4,0.131502025
X03_04_2013_H02_2404.CEL,Mars4,0.126891703
X03_04_2013_D08_1949.CEL,Mars4,0.117779493
X22_01_2013_B07_774.CEL,Mars4,0.106119351
X20_03_2013_B12_1326.CEL,Mars4,0.105758327
X22_01_2013_H03_1995.CEL,Mars4,0.08924489
X26_03_2013_B11_1427.CEL,Mars4,0.085165518
X12_03_2013_F07_1165.CEL,Mars4,0.068579791
X21_03_2013_G08_2955.CEL,Mars4,0.064767498
X07_03_2013_H09_2169.CEL,Mars4,0.058476772
X22_01_2013_G03_2239.CEL,Mars4,0.054219663
